Freq.	V(vo)
5.49540873857628e-01	(-4.46715957707082e+01dB,1.77424999927290e+02°)
5.75439937337161e-01	(-4.38681514103957e+01dB,1.77302603408909e+02°)
6.02559586074362e-01	(-4.30643738765249e+01dB,1.77174283345164e+02°)
6.30957344480197e-01	(-4.22602308501481e+01dB,1.77039737341705e+02°)
6.60693448007600e-01	(-4.14556868590434e+01dB,1.76898645248741e+02°)
6.91830970918941e-01	(-4.06507029664352e+01dB,1.76750667788695e+02°)
7.24435960074995e-01	(-3.98452364282757e+01dB,1.76595445035523e+02°)
7.58577575029189e-01	(-3.90392403157774e+01dB,1.76432594725170e+02°)
7.94328234724287e-01	(-3.82326630995124e+01dB,1.76261710373338e+02°)
8.31763771102677e-01	(-3.74254481909755e+01dB,1.76082359172924e+02°)
8.70963589956087e-01	(-3.66175334370380e+01dB,1.75894079638894e+02°)
9.12010839355916e-01	(-3.58088505621848e+01dB,1.75696378963001e+02°)
9.54992586021443e-01	(-3.49993245528365e+01dB,1.75488730034364e+02°)
1.00000000000001e+00	(-3.41888729773769e+01dB,1.75270568074351e+02°)
1.04712854805091e+00	(-3.33774052347551e+01dB,1.75041286825144e+02°)
1.09647819614319e+00	(-3.25648217236700e+01dB,1.74800234220580e+02°)
1.14815362149689e+00	(-3.17510129233845e+01dB,1.74546707454859e+02°)
1.20226443461742e+00	(-3.09358583761298e+01dB,1.74279947349127e+02°)
1.25892541179418e+00	(-3.01192255598444e+01dB,1.73999131897057e+02°)
1.31825673855642e+00	(-2.93009686386255e+01dB,1.73703368847724e+02°)
1.38038426460290e+00	(-2.84809270767503e+01dB,1.73391687156259e+02°)
1.44543977074594e+00	(-2.76589241004389e+01dB,1.73063027098807e+02°)
1.51356124843622e+00	(-2.68347649896812e+01dB,1.72716228806710e+02°)
1.58489319246113e+00	(-2.60082351804414e+01dB,1.72350018923549e+02°)
1.65958690743757e+00	(-2.51790981554274e+01dB,1.71962995025325e+02°)
1.73780082874939e+00	(-2.43470930994091e+01dB,1.71553607365338e+02°)
1.81970085861000e+00	(-2.35119322929086e+01dB,1.71120137407117e+02°)
1.90546071796326e+00	(-2.26732982161364e+01dB,1.70660672485708e+02°)
1.99526231496890e+00	(-2.18308403335946e+01dB,1.70173075782626e+02°)
2.08929613085406e+00	(-2.09841715292727e+01dB,1.69654950603788e+02°)
2.18776162394957e+00	(-2.01328641635413e+01dB,1.69103597700507e+02°)
2.29086765276779e+00	(-1.92764457268155e+01dB,1.68515964055479e+02°)
2.39883291901951e+00	(-1.84143940735573e+01dB,1.67888581147494e+02°)
2.51188643150960e+00	(-1.75461322358907e+01dB,1.67217490182681e+02°)
2.63026799189540e+00	(-1.66710228431743e+01dB,1.66498151099900e+02°)
2.75422870333819e+00	(-1.57883622187516e+01dB,1.65725331274924e+02°)
2.88403150312663e+00	(-1.48973742977896e+01dB,1.64892968699112e+02°)
3.01995172040204e+00	(-1.39972046262207e+01dB,1.63994002911045e+02°)
3.16227766016841e+00	(-1.30869148847757e+01dB,1.63020165009620e+02°)
3.31131121482594e+00	(-1.21654786723311e+01dB,1.61961715545873e+02°)
3.46736850452535e+00	(-1.12317797399594e+01dB,1.60807115830905e+02°)
3.63078054770105e+00	(-1.02846145871489e+01dB,1.59542614061882e+02°)
3.80189396320565e+00	(-9.32270246683313e+00dB,1.58151722566583e+02°)
3.98107170553501e+00	(-8.34470763696438e+00dB,1.56614556495695e+02°)
4.16869383470339e+00	(-7.34928152180800e+00dB,1.54906998027015e+02°)
4.36515832240170e+00	(-6.33513689123515e+00dB,1.52999645267050e+02°)
4.57088189614880e+00	(-5.30117310725640e+00dB,1.50856505623547e+02°)
4.78630092322643e+00	(-4.24668215142947e+00dB,1.48433408563334e+02°)
5.01187233627277e+00	(-3.17168101299208e+00dB,1.45676161482709e+02°)
5.24807460249778e+00	(-2.07743815283682e+00dB,1.42518593101988e+02°)
5.49540873857630e+00	(-9.67288564975212e-01dB,1.38880892769947e+02°)
5.75439937337163e+00	(1.52146981535735e-01dB,1.34669180752199e+02°)
6.02559586074364e+00	(1.26924095572309e+00dB,1.29778190084663e+02°)
6.30957344480200e+00	(2.36517706099109e+00dB,1.24100369380541e+02°)
6.60693448007603e+00	(3.41175572325449e+00dB,1.17546145800329e+02°)
6.91830970918944e+00	(4.37046038502480e+00dB,1.10079502285793e+02°)
7.24435960074998e+00	(5.19508612878923e+00dB,1.01766122869036e+02°)
7.58577575029192e+00	(5.84021463938094e+00dB,9.28148608958403e+01°)
7.94328234724290e+00	(6.27470629449877e+00dB,8.35765527808598e+01°)
8.31763771102680e+00	(6.49369698122138e+00dB,7.44751442037647e+01°)
8.70963589956090e+00	(6.52066082450960e+00dB,6.58962122950560e+01°)
9.12010839355920e+00	(6.39790634254357e+00dB,5.80984319169364e+01°)
9.54992586021447e+00	(6.17260372570468e+00dB,5.11910951291616e+01°)
1.00000000000001e+01	(5.88631034397993e+00dB,4.51658841281606e+01°)
1.04712854805091e+01	(5.57060288833504e+00dB,3.99459638092482e+01°)
1.09647819614320e+01	(5.24713512413330e+00dB,3.54265997734533e+01°)
1.14815362149690e+01	(4.92961088354118e+00dB,3.15001467734310e+01°)
1.20226443461743e+01	(4.62605045901169e+00dB,2.80682478853944e+01°)
1.25892541179418e+01	(4.34067981921673e+00dB,2.50461789925001e+01°)
1.31825673855642e+01	(4.07530670973763e+00dB,2.23631722634016e+01°)
1.38038426460290e+01	(3.83025495358044e+00dB,1.99610202595942e+01°)
1.44543977074594e+01	(3.60497362847402e+00dB,1.77921525168428e+01°)
1.51356124843623e+01	(3.39842415487188e+00dB,1.58177295940790e+01°)
1.58489319246113e+01	(3.20932152955163e+00dB,1.40059651049726e+01°)
1.65958690743758e+01	(3.03628184539604e+00dB,1.23307285101422e+01°)
1.73780082874940e+01	(2.87791037166746e+00dB,1.07704145463702e+01°)
1.81970085861001e+01	(2.73285226287193e+00dB,9.30704178620354e+00°)
1.90546071796327e+01	(2.59981995389214e+00dB,7.92553881734559e+00°)
1.99526231496890e+01	(2.47760614814552e+00dB,6.61318024193549e+00°)
2.08929613085407e+01	(2.36508802569718e+00dB,5.35914077541881e+00°)
2.18776162394958e+01	(2.26122621819447e+00dB,4.15414189525690e+00°)
2.29086765276780e+01	(2.16506077949550e+00dB,2.99017090541304e+00°)
2.39883291901952e+01	(2.07570554531365e+00dB,1.86025673333592e+00°)
2.51188643150961e+01	(1.99234174511693e+00dB,7.58290311286207e-01°)
2.63026799189542e+01	(1.91421139325016e+00dB,-3.21119849771215e-01°)
2.75422870333820e+01	(1.84061077331521e+00dB,-1.38276415732185e+00°)
2.88403150312664e+01	(1.77088419565071e+00dB,-2.43092613360064e+00°)
3.01995172040206e+01	(1.70441812397584e+00dB,-3.46945868402340e+00°)
3.16227766016842e+01	(1.64063571583911e+00dB,-4.50184584707168e+00°)
3.31131121482596e+01	(1.57899179087599e+00dB,-5.53125269381997e+00°)
3.46736850452536e+01	(1.51896822358833e+00dB,-6.56056547414284e+00°)
3.63078054770106e+01	(1.46006974861588e+00dB,-7.59242366563864e+00°)
3.80189396320567e+01	(1.40182016315992e+00dB,-8.62924524045632e+00°)
3.98107170553503e+01	(1.34375891131251e+00dB,-9.67324620193435e+00°)
4.16869383470341e+01	(1.28543803721075e+00dB,-1.07264552402912e+01°)
4.36515832240172e+01	(1.22641949727719e+00dB,-1.17907242017919e+01°)
4.57088189614882e+01	(1.16627282571823e+00dB,-1.28677349492282e+01°)
4.78630092322645e+01	(1.10457315148748e+00dB,-1.39590031058996e+01°)
5.01187233627280e+01	(1.04089956874397e+00dB,-1.50658791149615e+01°)
5.24807460249780e+01	(9.74833866162279e-01dB,-1.61895470066247e+01°)
5.49540873857633e+01	(9.05959623031924e-01dB,-1.73310212436612e+01°)
5.75439937337165e+01	(8.33861681676154e-01dB,-1.84911420079193e+01°)
6.02559586074367e+01	(7.58126006097814e-01dB,-1.96705692942500e+01°)
6.30957344480203e+01	(6.78339935708905e-01dB,-2.08697761906069e+01°)
6.60693448007606e+01	(5.94092840327048e-01dB,-2.20890417412115e+01°)
6.91830970918947e+01	(5.04977178183327e-01dB,-2.33284438104685e+01°)
7.24435960075001e+01	(4.10589952397178e-01dB,-2.45878523853859e+01°)
7.58577575029195e+01	(3.10534553243119e-01dB,-2.58669237700076e+01°)
7.94328234724294e+01	(2.04422963689341e-01dB,-2.71650961330117e+01°)
8.31763771102684e+01	(9.18782943907249e-02dB,-2.84815868654469e+01°)
8.70963589956094e+01	(-2.74623980082739e-02dB,-2.98153921860762e+01°)
9.12010839355924e+01	(-1.53945068184669e-01dB,-3.11652893940767e+01°)
9.54992586021451e+01	(-2.87895486490772e-01dB,-3.25298421109335e+01°)
1.00000000000002e+02	(-4.29615973169570e-01dB,-3.39074087745365e+01°)
1.04712854805092e+02	(-5.79382154618356e-01dB,-3.52961545496121e+01°)
1.09647819614320e+02	(-7.37439840337986e-01dB,-3.66940667023103e+01°)
1.14815362149690e+02	(-9.04002121927172e-01dB,-3.80989733574584e+01°)
1.20226443461743e+02	(-1.07924679384826e+00dB,-3.95085654208062e+01°)
1.25892541179419e+02	(-1.26331418933862e+00dB,-4.09204213129338e+01°)
1.31825673855643e+02	(-1.45630551373634e+00dB,-4.23320340346038e+01°)
1.38038426460291e+02	(-1.65828174196112e+00dB,-4.37408399734581e+01°)
1.44543977074595e+02	(-1.86926312764612e+00dB,-4.51442487766718e+01°)
1.51356124843623e+02	(-2.08922934947246e+00dB,-4.65396735595508e+01°)
1.58489319246114e+02	(-2.31812029688990e+00dB,-4.79245607000738e+01°)
1.65958690743759e+02	(-2.55583747401249e+00dB,-4.92964184854350e+01°)
1.73780082874940e+02	(-2.80224597846442e+00dB,-5.06528439274522e+01°)
1.81970085861001e+02	(-3.05717699259743e+00dB,-5.19915471453827e+01°)
1.90546071796328e+02	(-3.32043070885198e+00dB,-5.33103728212228e+01°)
1.99526231496891e+02	(-3.59177959980998e+00dB,-5.46073183563942e+01°)
2.08929613085407e+02	(-3.87097193704621e+00dB,-5.58805484915495e+01°)
2.18776162394959e+02	(-4.15773546121512e+00dB,-5.71284062847454e+01°)
2.29086765276781e+02	(-4.45178110857043e+00dB,-5.83494204698931e+01°)
2.39883291901953e+02	(-4.75280670569141e+00dB,-5.95423093308906e+01°)
2.51188643150962e+02	(-5.06050055379048e+00dB,-6.07059813225487e+01°)
2.63026799189543e+02	(-5.37454483570972e+00dB,-6.18395327444770e+01°)
2.75422870333821e+02	(-5.69461879168017e+00dB,-6.29422428273978e+01°)
2.88403150312666e+02	(-6.02040162327749e+00dB,-6.40135666233591e+01°)
3.01995172040207e+02	(-6.35157509803605e+00dB,-6.50531261037088e+01°)
3.16227766016843e+02	(-6.68782583930334e+00dB,-6.60606998640649e+01°)
3.31131121482597e+02	(-7.02884729670742e+00dB,-6.70362118169872e+01°)
3.46736850452538e+02	(-7.37434140181196e+00dB,-6.79797192239503e+01°)
3.63078054770108e+02	(-7.72401992102457e+00dB,-6.88914003817835e+01°)
3.80189396320568e+02	(-8.07760552360371e+00dB,-6.97715422379836e+01°)
3.98107170553504e+02	(-8.43483258676554e+00dB,-7.06205281667815e+01°)
4.16869383470343e+02	(-8.79544776258068e+00dB,-7.14388260956857e+01°)
4.36515832240174e+02	(-9.15921033276441e+00dB,-7.22269771320444e+01°)
4.57088189614883e+02	(-9.52589237781404e+00dB,-7.29855848021205e+01°)
4.78630092322647e+02	(-9.89527878644951e+00dB,-7.37153049820027e+01°)
5.01187233627281e+02	(-1.02671671301674e+01dB,-7.44168365707617e+01°)
5.24807460249782e+02	(-1.06413674261093e+01dB,-7.50909129317087e+01°)
5.49540873857634e+02	(-1.10177018095332e+01dB,-7.57382941073067e+01°)
5.75439937337167e+02	(-1.13960041350874e+01dB,-7.63597597969635e+01°)
6.02559586074369e+02	(-1.17761195239425e+01dB,-7.69561030742305e+01°)
6.30957344480205e+02	(-1.21579038717005e+01dB,-7.75281248104302e+01°)
6.60693448007608e+02	(-1.25412233299535e+01dB,-7.80766287649919e+01°)
6.91830970918949e+02	(-1.29259537724390e+01dB,-7.86024172983703e+01°)
7.24435960075003e+02	(-1.33119802549623e+01dB,-7.91062876609323e+01°)
7.58577575029198e+02	(-1.36991964766515e+01dB,-7.95890288102636e+01°)
7.94328234724296e+02	(-1.40875042486768e+01dB,-8.00514187096249e+01°)
8.31763771102686e+02	(-1.44768129753018e+01dB,-8.04942220614956e+01°)
8.70963589956097e+02	(-1.48670391510383e+01dB,-8.09181884320335e+01°)
9.12010839355927e+02	(-1.52581058767322e+01dB,-8.13240507246435e+01°)
9.54992586021454e+02	(-1.56499423966064e+01dB,-8.17125239635233e+01°)
1.00000000000002e+03	(-1.60424836576138e+01dB,-8.20843043508990e+01°)
1.04712854805092e+03	(-1.64356698918979e+01dB,-8.24400685645834e+01°)
1.09647819614321e+03	(-1.68294462226974e+01dB,-8.27804732653836e+01°)
1.14815362149690e+03	(-1.72237622936664e+01dB,-8.31061547867172e+01°)
1.20226443461744e+03	(-1.76185719212871e+01dB,-8.34177289815026e+01°)
1.25892541179419e+03	(-1.80138327698242e+01dB,-8.37157912039486e+01°)
1.31825673855643e+03	(-1.84095060480984e+01dB,-8.40009164062682e+01°)
1.38038426460291e+03	(-1.88055562272273e+01dB,-8.42736593325564e+01°)
1.44543977074596e+03	(-1.92019507783974e+01dB,-8.45345547941151e+01°)
1.51356124843624e+03	(-1.95986599296686e+01dB,-8.47841180123710e+01°)
1.58489319246114e+03	(-1.99956564407867e+01dB,-8.50228450172214e+01°)
1.65958690743759e+03	(-2.03929153949637e+01dB,-8.52512130901711e+01°)
1.73780082874941e+03	(-2.07904140065929e+01dB,-8.54696812429951e+01°)
1.81970085861002e+03	(-2.11881314438852e+01dB,-8.56786907238891e+01°)
